commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
Function inline pass bug fix (#20),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
FunctionInlinePass Function Attribute 미확인 (#58),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
RemoveUnusedPass (#10),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
Fix RemoveUnusedPass bug (#31),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
Arithmetic pass (#8),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
Fix wrong return value (#35),7.089503254080528,1.0,1.0327890111821258,1.0121281048210038,1.012378541706025,1.0100835293196448,1.0122049337140253,1.0099191333377036
Add SimplifyCFGPass (#9),6.7742810794776664,1.0027686902679185,1.0136246787520284,0.9687976799123938,0.9554121140678983,0.9969090307229076,0.950350680975127,0.8864182047793925
Support compiler options (#17),6.7742810794776664,1.0027686902679185,1.0136246787520284,0.9687976799123938,0.9554121140678983,0.9969090307229076,0.950350680975127,0.8864182047793925
Automate testing benchmarks (#23),6.7742810794776664,1.0027686902679185,1.0136246787520284,0.9687976799123938,0.9554121140678983,0.9969090307229076,0.950350680975127,0.8864182047793925
Phierasepass (#27),6.832301612956931,1.0027686902679185,1.0136246787520284,0.9775261922690031,0.9665295711402744,0.9996727333033794,0.9623653181618196,0.9098144290625072
Fix PhierasePass Bug (#47),6.832301612956931,1.0027686902679185,1.0136246787520284,0.9775261922690031,0.9665295711402744,0.9996727333033794,0.9623653181618196,0.9098144290625072
Add GVNPass (#25),7.261734186769572,1.0361726283555979,1.0314383500360234,1.0596321204049162,1.049288043087711,1.0684669891093777,1.0435974757612092,0.9731385800147372
Add BranchPredictPass (#29),7.5385840957456685,1.0271673368145935,1.055855522086894,1.102925988423919,1.1002845403680939,1.094931751393793,1.097216740412015,1.0602022162463598
Implement basic LoopVectorizePass (#32),7.559622529207141,1.0271673368145935,1.058469954002976,1.107194524485529,1.1040639740983191,1.0996853422642732,1.100833769976631,1.0622076275648205
Fix CI & compiler option (#42),7.559622529207141,1.0271673368145935,1.058469954002976,1.107194524485529,1.1040639740983191,1.0996853422642732,1.100833769976631,1.0622076275648205
Implement LoopUnrollPass (#49),7.559622529207141,1.0271673368145935,1.058469954002976,1.107194524485529,1.1040639740983191,1.0996853422642732,1.100833769976631,1.0622076275648205
Supplement LoopVectorizePass (#48),8.10006476951464,1.0271673368145935,1.1252279964549512,1.210521147118737,1.206364843092252,1.1929546823526886,1.2008439036297072,1.1369848600517116
Refactor and add comments (#62),8.10006476951464,1.0271673368145935,1.1252279964549512,1.210521147118737,1.206364843092252,1.1929546823526886,1.2008439036297072,1.1369848600517116
MatmulTransposePass (#52),8.10006476951464,1.0271673368145935,1.1252279964549512,1.210521147118737,1.206364843092252,1.1929546823526886,1.2008439036297072,1.1369848600517116
Implement ConstantMergePass (#60),8.10006476951464,1.0271673368145935,1.1252279964549512,1.210521147118737,1.206364843092252,1.1929546823526886,1.2008439036297072,1.1369848600517116
Sccp pass (#45),8.447625835891817,1.0271673368145935,1.1451698223178859,1.2623028930112121,1.2711910679070733,1.2122181804035115,1.2700591082349384,1.2595174272026028
Add MemoryToStackPass (#51),8.845520183811566,1.0450884866859105,1.1707710367499438,1.3170589448878696,1.339362361941298,1.2390615461486245,1.3430328066530697,1.3911450007448494
Return correct PreservedAnalysis (#59),8.845520183811566,1.0450884866859105,1.1707710367499438,1.3170589448878696,1.339362361941298,1.2390615461486245,1.3430328066530697,1.3911450007448494
Fix filecheck details (#61),8.845520183811566,1.0450884866859105,1.1707710367499438,1.3170589448878696,1.339362361941298,1.2390615461486245,1.3430328066530697,1.3911450007448494
