commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),8.174132231243874,1.0,1.0177355025287913,1.0193252312814645,1.0245018621959951,1.0262995125288779,1.0291438577877454,1.030826752392123,1.0262995125288779
Function inline pass bug fix (#20),8.174132231243874,1.0,1.0177355025287913,1.0193252312814645,1.0245018621959951,1.0262995125288779,1.0291438577877454,1.030826752392123,1.0262995125288779
FunctionInlinePass Function Attribute 미확인 (#58),8.103280754081144,0.9273087296799567,1.0184588706389788,1.0194953500975195,1.02467471936863,1.026481843617952,1.0293429938956513,1.031036403164503,1.026481843617952
RemoveUnusedPass (#10),nan,1.0,nan,nan,nan,nan,nan,nan,6.564097951625154
Fix RemoveUnusedPass bug (#31),8.103280754081144,0.9273087296799567,1.0184588706389788,1.0194953500975195,1.02467471936863,1.026481843617952,1.0293429938956513,1.031036403164503,1.026481843617952
Arithmetic pass (#8),8.103280754081144,0.9273087296799567,1.0184588706389788,1.0194953500975195,1.02467471936863,1.026481843617952,1.0293429938956513,1.031036403164503,1.026481843617952
Fix wrong return value (#35),8.103280754081144,0.9273087296799567,1.0184588706389788,1.0194953500975195,1.02467471936863,1.026481843617952,1.0293429938956513,1.031036403164503,1.026481843617952
Add SimplifyCFGPass (#9),8.130660122699268,0.9366910877998508,1.020561597404738,1.0214374512915982,1.0271552183228485,1.0291549255284362,1.0323174895163205,1.0341874273070388,1.0291549255284362
Support compiler options (#17),8.130660122699268,0.9366910877998508,1.020561597404738,1.0214374512915982,1.0271552183228485,1.0291549255284362,1.0323174895163205,1.0341874273070388,1.0291549255284362
Automate testing benchmarks (#23),8.130660122699268,0.9366910877998508,1.020561597404738,1.0214374512915982,1.0271552183228485,1.0291549255284362,1.0323174895163205,1.0341874273070388,1.0291549255284362
Phierasepass (#27),8.130660122699268,0.9366910877998508,1.020561597404738,1.0214374512915982,1.0271552183228485,1.0291549255284362,1.0323174895163205,1.0341874273070388,1.0291549255284362
Fix PhierasePass Bug (#47),8.130660122699268,0.9366910877998508,1.020561597404738,1.0214374512915982,1.0271552183228485,1.0291549255284362,1.0323174895163205,1.0341874273070388,1.0291549255284362
Add GVNPass (#25),8.626322082828988,0.9366910877998508,1.0594838325922742,1.0744366370636222,1.0986525489492982,1.1064623120591655,1.1185436397780226,1.1255897125275887,1.1064623120591655
Add BranchPredictPass (#29),9.074547024479827,0.9687154553530287,1.0959190901194622,1.121979195738879,1.1582226090249932,1.1702513531655905,1.18907340124109,1.200134566671192,1.1702513531655905
Implement basic LoopVectorizePass (#32),9.074547024479827,0.9687154553530287,1.0959190901194622,1.121979195738879,1.1582226090249932,1.1702513531655905,1.18907340124109,1.200134566671192,1.1702513531655905
Fix CI & compiler option (#42),9.074547024479827,0.9687154553530287,1.0959190901194622,1.121979195738879,1.1582226090249932,1.1702513531655905,1.18907340124109,1.200134566671192,1.1702513531655905
Implement LoopUnrollPass (#49),8.553471929386223,0.9687154553530287,1.0394663251466316,1.0683403065316517,1.085624228289781,1.0915657910570984,1.1012347337482833,1.10695929820265,1.0915657910570984
Supplement LoopVectorizePass (#48),8.584999976956167,0.9687154553530287,1.0394663251466316,1.0841208412499914,1.090908718010865,1.0950713488197974,1.1032689005455258,1.1083770390105308,1.0950713488197974
Refactor and add comments (#62),8.584999976956167,0.9687154553530287,1.0394663251466316,1.0841208412499914,1.090908718010865,1.0950713488197974,1.1032689005455258,1.1083770390105308,1.0950713488197974
MatmulTransposePass (#52),8.584999976956167,0.9687154553530287,1.0394663251466316,1.0841208412499914,1.090908718010865,1.0950713488197974,1.1032689005455258,1.1083770390105308,1.0950713488197974
Implement ConstantMergePass (#60),8.602685966799354,0.9687154553530287,1.0394663251466316,1.0930255891204084,1.0938590173903178,1.09702575485042,1.1044017733949032,1.1091662966932248,1.09702575485042
Sccp pass (#45),8.602685966799354,0.9687154553530287,1.0394663251466316,1.0930255891204084,1.0938590173903178,1.09702575485042,1.1044017733949032,1.1091662966932248,1.09702575485042
Add MemoryToStackPass (#51),8.39199177317334,0.6501125428117722,1.0699781995852227,1.123550647757404,1.1215939558993766,1.1051925151498887,1.105763166490734,1.1106082303290528,1.1051925151498887
Return correct PreservedAnalysis (#59),8.39199177317334,0.6501125428117722,1.0699781995852227,1.123550647757404,1.1215939558993766,1.1051925151498887,1.105763166490734,1.1106082303290528,1.1051925151498887
Fix filecheck details (#61),8.39199177317334,0.6501125428117722,1.0699781995852227,1.123550647757404,1.1215939558993766,1.1051925151498887,1.105763166490734,1.1106082303290528,1.1051925151498887
