commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
Function inline pass bug fix (#20),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
FunctionInlinePass Function Attribute 미확인 (#58),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
RemoveUnusedPass (#10),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
Fix RemoveUnusedPass bug (#31),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
Arithmetic pass (#8),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
Fix wrong return value (#35),8.230657086627577,1.0414153574107574,1.0181401579870177,1.0210246539270773,1.0267228399533042,1.028746241575086,1.0319720232258145,1.0338895709734324,1.028746241575086
Add SimplifyCFGPass (#9),8.234089294796732,1.0402830353065742,1.020289316362194,1.0221867464346348,1.0271322320334297,1.0290313393104662,1.0321321701821293,1.0340031158568372,1.0290313393104662
Support compiler options (#17),8.234089294796732,1.0402830353065742,1.020289316362194,1.0221867464346348,1.0271322320334297,1.0290313393104662,1.0321321701821293,1.0340031158568372,1.0290313393104662
Automate testing benchmarks (#23),8.234089294796732,1.0402830353065742,1.020289316362194,1.0221867464346348,1.0271322320334297,1.0290313393104662,1.0321321701821293,1.0340031158568372,1.0290313393104662
Phierasepass (#27),8.234089294796732,1.0402830353065742,1.020289316362194,1.0221867464346348,1.0271322320334297,1.0290313393104662,1.0321321701821293,1.0340031158568372,1.0290313393104662
Fix PhierasePass Bug (#47),8.234089294796732,1.0402830353065742,1.020289316362194,1.0221867464346348,1.0271322320334297,1.0290313393104662,1.0321321701821293,1.0340031158568372,1.0290313393104662
Add GVNPass (#25),8.240268792621203,1.0459772779039385,1.0207575599883967,1.0222031253234127,1.027132620153465,1.0290314511704735,1.0321321860407682,1.034003120870274,1.0290314511704735
Add BranchPredictPass (#29),8.810068183069868,1.0459772779039385,1.0599721883261144,1.0841126134916539,1.1099934170645511,1.1186656501484455,1.1323146900374685,1.1403666959492504,1.1186656501484455
Implement basic LoopVectorizePass (#32),8.810068183069868,1.0459772779039385,1.0599721883261144,1.0841126134916539,1.1099934170645511,1.1186656501484455,1.1323146900374685,1.1403666959492504,1.1186656501484455
Fix CI & compiler option (#42),8.810068183069868,1.0459772779039385,1.0599721883261144,1.0841126134916539,1.1099934170645511,1.1186656501484455,1.1323146900374685,1.1403666959492504,1.1186656501484455
Implement LoopUnrollPass (#49),8.871557961440889,0.9524142206717481,0.980515006914402,1.0995274124270453,1.1488819718312429,1.1558892355801023,1.1845984239038203,1.193842454532426,1.1558892355801023
Supplement LoopVectorizePass (#48),10.973478157023123,0.9524142206717481,0.980515006914402,1.347010101805226,1.484261417369043,1.500000836388692,1.591226964514007,1.6180487729713136,1.500000836388692
Refactor and add comments (#62),10.973478157023123,0.9524142206717481,0.980515006914402,1.347010101805226,1.484261417369043,1.500000836388692,1.591226964514007,1.6180487729713136,1.500000836388692
MatmulTransposePass (#52),13.33319937388252,0.9486950660046212,0.9028709201663753,1.5884645624627873,1.898380540178433,1.8752073691774318,2.1085078512926714,2.135865695422769,1.8752073691774318
Implement ConstantMergePass (#60),15.753307752499497,0.9486950660046212,0.9028709201663753,1.845008740684896,2.3018432869209517,2.254048790596927,2.6072412866107877,2.6395508709180113,2.254048790596927
Sccp pass (#45),15.753307752499497,0.9486950660046212,0.9028709201663753,1.845008740684896,2.3018432869209517,2.254048790596927,2.6072412866107877,2.6395508709180113,2.254048790596927
Add MemoryToStackPass (#51),16.031542365334303,0.9157755502198527,0.9881124425181005,1.9588655801428936,2.398055930913282,2.261970753345836,2.6072406700592428,2.63955068478926,2.261970753345836
Return correct PreservedAnalysis (#59),16.031542365334303,0.9157755502198527,0.9881124425181005,1.9588655801428936,2.398055930913282,2.261970753345836,2.6072406700592428,2.63955068478926,2.261970753345836
Fix filecheck details (#61),16.031542365334303,0.9157755502198527,0.9881124425181005,1.9588655801428936,2.398055930913282,2.261970753345836,2.6072406700592428,2.63955068478926,2.261970753345836
