commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
Function inline pass bug fix (#20),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
FunctionInlinePass Function Attribute 미확인 (#58),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
RemoveUnusedPass (#10),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
Fix RemoveUnusedPass bug (#31),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
Arithmetic pass (#8),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
Fix wrong return value (#35),8.124417458070496,1.038930620630647,1.0136371223617378,1.0102389652485866,1.0112736872490697,1.0118806437329555,1.012951045836331,1.013624729278213,1.0118806437329555
Add SimplifyCFGPass (#9),8.127825239772863,1.0390645590678054,1.0156947210985607,1.0108800306705585,1.0114655491978743,1.012011217952287,1.013022776359189,1.0136751674743003,1.012011217952287
Support compiler options (#17),8.127825239772863,1.0390645590678054,1.0156947210985607,1.0108800306705585,1.0114655491978743,1.012011217952287,1.013022776359189,1.0136751674743003,1.012011217952287
Automate testing benchmarks (#23),8.127825239772863,1.0390645590678054,1.0156947210985607,1.0108800306705585,1.0114655491978743,1.012011217952287,1.013022776359189,1.0136751674743003,1.012011217952287
Phierasepass (#27),8.127825239772863,1.0390645590678054,1.0156947210985607,1.0108800306705585,1.0114655491978743,1.012011217952287,1.013022776359189,1.0136751674743003,1.012011217952287
Fix PhierasePass Bug (#47),8.127825239772863,1.0390645590678054,1.0156947210985607,1.0108800306705585,1.0114655491978743,1.012011217952287,1.013022776359189,1.0136751674743003,1.012011217952287
Add GVNPass (#25),8.207955215755113,1.0458219142602256,1.0211476802659567,1.0188606054485687,1.022100927876872,1.023492084077942,1.0258119898823008,1.0272279298653046,1.023492084077942
Add BranchPredictPass (#29),8.477777815834209,1.0458219142602256,1.0499236029558414,1.0509091871894505,1.059946843441508,1.0637045321599825,1.0699700503972709,1.0737971532699468,1.0637045321599825
Implement basic LoopVectorizePass (#32),8.477777815834209,1.0458219142602256,1.0499236029558414,1.0509091871894505,1.059946843441508,1.0637045321599825,1.0699700503972709,1.0737971532699468,1.0637045321599825
Fix CI & compiler option (#42),8.477777815834209,1.0458219142602256,1.0499236029558414,1.0509091871894505,1.059946843441508,1.0637045321599825,1.0699700503972709,1.0737971532699468,1.0637045321599825
Implement LoopUnrollPass (#49),10.942804025003516,0.9579935038851864,0.9973966157545007,1.356225723301783,1.4770770287405697,1.4908799375114772,1.5738299157272002,1.5985213625713222,1.4908799375114772
Supplement LoopVectorizePass (#48),12.136316887733665,0.9579935038851864,0.9973966157545007,1.5202776963033506,1.6694141583606181,1.6820068238388708,1.7977393337112737,1.829481932040995,1.6820068238388708
Refactor and add comments (#62),12.136316887733665,0.9579935038851864,0.9973966157545007,1.5202776963033506,1.6694141583606181,1.6820068238388708,1.7977393337112737,1.829481932040995,1.6820068238388708
MatmulTransposePass (#52),19.131130979447434,0.9579935038851864,1.0789899991677523,2.155714638642805,2.7767902091111654,2.8378448882849514,3.1949400133572,3.2910128387134208,2.8378448882849514
Implement ConstantMergePass (#60),21.56375297676187,0.9579935038851864,1.0789899991677523,2.4158904098004355,3.183663789150997,3.218911011298474,3.6946952379518865,3.794698014208663,3.218911011298474
Sccp pass (#45),21.56375297676187,0.9579935038851864,1.0789899991677523,2.4158904098004355,3.183663789150997,3.218911011298474,3.6946952379518865,3.794698014208663,3.218911011298474
Add MemoryToStackPass (#51),21.84532450432955,0.9261800348913256,1.1639442403643219,2.531358986062214,3.280689805114844,3.226879494839881,3.6946946201371706,3.7946978280799115,3.226879494839881
Return correct PreservedAnalysis (#59),21.84532450432955,0.9261800348913256,1.1639442403643219,2.531358986062214,3.280689805114844,3.226879494839881,3.6946946201371706,3.7946978280799115,3.226879494839881
Fix filecheck details (#61),21.84532450432955,0.9261800348913256,1.1639442403643219,2.531358986062214,3.280689805114844,3.226879494839881,3.6946946201371706,3.7946978280799115,3.226879494839881
