commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt
Add CI for build and filechecks (#3),518.3142857142857,404.9,725.2,449.3,370.2,411.3,620.0,647.3
Function inline pass (#7),518.3142857142857,404.9,725.2,449.3,370.2,411.3,620.0,647.3
Function inline pass bug fix (#20),518.3142857142857,404.9,725.2,449.3,370.2,411.3,620.0,647.3
FunctionInlinePass Function Attribute 미확인 (#58),518.3142857142857,404.9,725.2,449.3,370.2,411.3,620.0,647.3
RemoveUnusedPass (#10),518.3142857142857,404.9,725.2,449.3,370.2,411.3,620.0,647.3
Fix RemoveUnusedPass bug (#31),518.3142857142857,404.9,725.2,449.3,370.2,411.3,620.0,647.3
Arithmetic pass (#8),504.42857142857144,401.3,696.4,442.1,370.2,407.7,594.8,618.5
Fix wrong return value (#35),504.42857142857144,401.3,696.4,442.1,370.2,407.7,594.8,618.5
Add SimplifyCFGPass (#9),504.42857142857144,401.3,696.4,442.1,370.2,407.7,594.8,618.5
Support compiler options (#17),504.42857142857144,401.3,696.4,442.1,370.2,407.7,594.8,618.5
Automate testing benchmarks (#23),504.42857142857144,401.3,696.4,442.1,370.2,407.7,594.8,618.5
Phierasepass (#27),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Fix PhierasePass Bug (#47),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Add GVNPass (#25),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Add BranchPredictPass (#29),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Implement basic LoopVectorizePass (#32),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Fix CI & compiler option (#42),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Implement LoopUnrollPass (#49),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Supplement LoopVectorizePass (#48),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Refactor and add comments (#62),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
MatmulTransposePass (#52),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Implement ConstantMergePass (#60),494.7142857142857,397.3,678.4,436.1,368.2,403.7,578.8,600.5
Sccp pass (#45),487.9,395.5,663.8,432.5,368.2,401.7,567.6,586.0
Add MemoryToStackPass (#51),487.9,395.5,663.8,432.5,368.2,401.7,567.6,586.0
Return correct PreservedAnalysis (#59),487.9,395.5,663.8,432.5,368.2,401.7,567.6,586.0
Fix filecheck details (#61),487.9,395.5,663.8,432.5,368.2,401.7,567.6,586.0
