commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),203837484.60599998,310.4,5230.4,212398.4,11879086.3998,44550152.0017,350988231.6876,1178514315.5572,44550152.0017
Function inline pass (#7),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
Function inline pass bug fix (#20),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
FunctionInlinePass Function Attribute 미확인 (#58),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
RemoveUnusedPass (#10),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
Fix RemoveUnusedPass bug (#31),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
Arithmetic pass (#8),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
Fix wrong return value (#35),199101598.49925,279.6,5072.4,207192.4,11600280.3998,43509730.0016,342827409.6888,1151153093.5022,43509730.0016
Add SimplifyCFGPass (#9),199082110.299225,280.4,5054.0,206908.4,11596060.3998,43499534.0016,342787013.6889,1151062497.5019,43499534.0016
Support compiler options (#17),199082110.299225,280.4,5054.0,206908.4,11596060.3998,43499534.0016,342787013.6889,1151062497.5019,43499534.0016
Automate testing benchmarks (#23),199082110.299225,280.4,5054.0,206908.4,11596060.3998,43499534.0016,342787013.6889,1151062497.5019,43499534.0016
Phierasepass (#27),199082110.299225,280.4,5054.0,206908.4,11596060.3998,43499534.0016,342787013.6889,1151062497.5019,43499534.0016
Fix PhierasePass Bug (#47),199082110.299225,280.4,5054.0,206908.4,11596060.3998,43499534.0016,342787013.6889,1151062497.5019,43499534.0016
Add GVNPass (#25),199082106.299225,276.4,5050.0,206904.4,11596056.3998,43499530.0016,342787009.6889,1151062493.5019,43499530.0016
Add BranchPredictPass (#29),184933588.7604375,276.4,4726.0,192324.4,10772772.3999,40409542.0003,318427021.7094,1069252505.1736,40409542.0003
Implement basic LoopVectorizePass (#32),184933588.7604375,276.4,4726.0,192324.4,10772772.3999,40409542.0003,318427021.7094,1069252505.1736,40409542.0003
Fix CI & compiler option (#42),184933588.7604375,276.4,4726.0,192324.4,10772772.3999,40409542.0003,318427021.7094,1069252505.1736,40409542.0003
Implement LoopUnrollPass (#49),178217351.74105,350.0,5405.6,188856.8,10406799.2,39191744.7993,306409384.4796,1030344528.2502,39191744.7993
Supplement LoopVectorizePass (#48),132747387.97372499,350.0,5405.6,141016.8,7724431.2002,29535344.7974,227174384.654,767862825.9408,29535344.7974
Refactor and add comments (#62),132747387.97372499,350.0,5405.6,141016.8,7724431.2002,29535344.7974,227174384.654,767862825.9408,29535344.7974
MatmulTransposePass (#52),92550881.0157125,353.3,6164.0,106047.2,5345935.2001,21696424.7986,155258884.8131,536296814.0153,21696424.7986
Implement ConstantMergePass (#60),65177485.925500005,353.3,6164.0,78341.6,3735029.6,15890464.7995,107567384.8246,378251684.4804,15890464.7995
Sccp pass (#45),65177485.925500005,353.3,6164.0,78341.6,3735029.6,15890464.7995,107567384.8246,378251684.4804,15890464.7995
Add MemoryToStackPass (#51),65112116.92549999,383.9,5336.6,68490.2,3428922.2,15787317.7995,107567433.6246,378251733.2804,15787317.7995
Return correct PreservedAnalysis (#59),65112116.92549999,383.9,5336.6,68490.2,3428922.2,15787317.7995,107567433.6246,378251733.2804,15787317.7995
Fix filecheck details (#61),65112116.92549999,383.9,5336.6,68490.2,3428922.2,15787317.7995,107567433.6246,378251733.2804,15787317.7995
