commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),518896537.77121246,11.0,8525.2,472528.8,29401351.2,111780954.0,891589644.0032,3006138333.9665,111780954.0
Function inline pass (#7),507920458.27851254,11.0,8276.2,462073.8,28774432.1984,109406865.0232,872719006.2237,2942586136.7596,109406865.0232
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan,nan,nan
Arithmetic pass (#8),nan,nan,nan,nan,nan,nan,nan,nan,nan
Add SimplifyCFGPass (#9),nan,nan,nan,nan,nan,nan,nan,nan,nan
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,nan,nan,nan,nan,nan,nan,nan,nan
Support compiler options (#17),nan,nan,nan,nan,nan,nan,nan,nan,nan
Fix wrong return value (#35),nan,nan,nan,nan,nan,nan,nan,nan,nan
Fix RemoveUnusedPass bug (#31),506738694.13825005,10.0,8246.2,460966.2,28707418.1983,109152262.2258,870688553.4026,2935739834.6535,109152262.2258
Function inline pass bug fix (#20),506738694.13825005,10.0,8246.2,460966.2,28707418.1983,109152262.2258,870688553.4026,2935739834.6535,109152262.2258
Automate testing benchmarks (#23),506738694.13825005,10.0,8246.2,460966.2,28707418.1983,109152262.2258,870688553.4026,2935739834.6535,109152262.2258
Add GVNPass (#25),475855619.804275,10.0,7730.4,433718.4,26969392.7983,102522482.1247,817650960.7165,2756738181.87,102522482.1247
Phierasepass (#27),475855619.804275,10.0,7730.4,433718.4,26969392.7983,102522482.1247,817650960.7165,2756738181.87,102522482.1247
Add BranchPredictPass (#29),451881028.6956,7.0,7274.4,410501.4,25593151.7984,97323122.1238,776415975.5074,2617975075.2114,97323122.1238
Implement basic LoopVectorizePass (#32),451881028.6956,7.0,7274.4,410501.4,25593151.7984,97323122.1238,776415975.5074,2617975075.2114,97323122.1238
Update skeleton code (6/1),451881028.6956,7.0,7274.4,410501.4,25593151.7984,97323122.1238,776415975.5074,2617975075.2114,97323122.1238
Fix CI & compiler option (#42),451881028.6956,7.0,7274.4,410501.4,25593151.7984,97323122.1238,776415975.5074,2617975075.2114,97323122.1238
Fix PhierasePass Bug (#47),451881028.6956,7.0,7274.4,410501.4,25593151.7984,97323122.1238,776415975.5074,2617975075.2114,97323122.1238
Implement LoopUnrollPass (#49),481785048.4306,7.0,8042.0,436841.2,27269760.4,103733909.2,827748359.195,2791349559.2498,103733909.2
Supplement LoopVectorizePass (#48),481197064.9306,7.0,8042.0,428937.2,27143296.4,103437509.2,826513359.195,2788607859.2498,103437509.2
Sccp pass (#45),481197064.9306,7.0,8042.0,428937.2,27143296.4,103437509.2,826513359.195,2788607859.2498,103437509.2
Add MemoryToStackPass (#51),480490940.105675,9.0,7627.8,414187.2,26490799.2,102751361.5,825688524.795,2785823649.8504,102751361.5
